id;user_id;title;article_body;date_article
1;8878;index Small;Loop maroon copy;2021-02-28
2;18789;Kuwait Sleek backing up;compress;2021-02-28
3;51291;Cocos (Keeling) Islands visualize;e-business microchip fuchsia;2021-03-01
4;62389;PCI;generating;2021-02-28
5;90605;Principal Egypt;alliance bifurcated;2021-03-01
6;82178;program Trail Sports;Factors port indexing;2021-02-28
7;9452;magenta;maroon;2021-03-01
8;3596;Pakistan Rupee Incredible Fresh Computer online;optical Virginia XSS;2021-03-01
9;83130;systematic grow;matrix Personal Loan Account;2021-03-01
10;25406;Small Wooden Chips lime;Puerto Rico payment Solutions;2021-02-28
